Metrics,LoadPoint,Bandwidth,src,dest, ,rep0,rep1,rep2,rep3,rep4,rep5,rep6,rep7,rep8,rep9
Blocking probability,0,all,all,all, ,0.00180697908643877,0.002162450382131643,0.0017181112625155519,0.002103205166182831,0.0020637083555502893,0.0021229535714991014,0.0013922625747970852,0.001915595315678259,0.002024211544917748,0.0018760985050457176
Blocking probability,1,all,all,all, ,0.003218990066552126,0.0039101842526216,0.0037719454154077057,0.0029030155814917945,0.0024191796512431623,0.0025969152990895986,0.003643580780851946,0.003446096727689239,0.004700120465272429,0.003643580780851946
Blocking probability,2,all,all,all, ,0.005223453206153603,0.005213579003495468,0.0035942097675612694,0.005371566246025633,0.0047889882891956476,0.004502636412109722,0.006092383040069514,0.004097794103126173,0.004255781345656338,0.006793451428797124
Blocking probability,3,all,all,all, ,0.006813199834113395,0.005934395797539349,0.006724332010190177,0.00792898473448269,0.00890653079763809,0.007237790548413216,0.00792898473448269,0.009706341212947054,0.00735628098031084,0.008116594584987263
Blocking probability,4,all,all,all, ,0.013024073306080535,0.013981870963919663,0.009054643837510121,0.010664138870786185,0.011414578272804472,0.008926279202954362,0.014929794419100658,0.011552817110018366,0.01618381815668385,0.011997156229634457


Blocking probability by lack of transmitters,0,all,all,all, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blocking probability by lack of transmitters,1,all,all,all, ,0.0,1.974840531627071E-5,0.0,0.0,0.0,0.0,0.0,0.0,1.974840531627071E-5,0.0
Blocking probability by lack of transmitters,2,all,all,all, ,0.0,0.0,0.0,1.974840531627071E-5,9.874202658135355E-6,0.0,9.874202658135355E-6,1.974840531627071E-5,0.0,9.874202658135355E-6
Blocking probability by lack of transmitters,3,all,all,all, ,9.874202658135355E-6,9.874202658135355E-6,9.874202658135355E-6,1.974840531627071E-5,3.949681063254142E-5,2.9622607974406068E-5,0.0,1.974840531627071E-5,0.0,9.874202658135355E-6
Blocking probability by lack of transmitters,4,all,all,all, ,6.911941860694749E-5,2.9622607974406068E-5,2.9622607974406068E-5,1.974840531627071E-5,6.911941860694749E-5,3.949681063254142E-5,7.899362126508284E-5,9.874202658135355E-6,1.5798724253016569E-4,8.88678239232182E-5


Blocking probability by lack of receivers,0,all,all,all, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blocking probability by lack of receivers,1,all,all,all, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blocking probability by lack of receivers,2,all,all,all, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blocking probability by lack of receivers,3,all,all,all, ,9.874202658135355E-6,0.0,2.9622607974406068E-5,0.0,0.0,9.874202658135355E-6,0.0,0.0,0.0,9.874202658135355E-6
Blocking probability by lack of receivers,4,all,all,all, ,9.874202658135355E-6,1.974840531627071E-5,6.911941860694749E-5,5.9245215948812136E-5,5.9245215948812136E-5,1.974840531627071E-5,0.0,2.9622607974406068E-5,3.949681063254142E-5,0.0


Blocking probability by fragmentation,0,all,all,all, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blocking probability by fragmentation,1,all,all,all, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blocking probability by fragmentation,2,all,all,all, ,1.0861622923948891E-4,4.937101329067678E-5,1.0861622923948891E-4,1.0861622923948891E-4,5.9245215948812136E-5,6.911941860694749E-5,6.911941860694749E-5,2.9622607974406068E-5,4.937101329067678E-5,1.3823883721389497E-4
Blocking probability by fragmentation,3,all,all,all, ,3.752197010091435E-4,2.0735825582084247E-4,4.3446491695795566E-4,9.18300847206588E-4,4.3446491695795566E-4,3.0610028240219604E-4,4.937101329067678E-4,5.529553488555799E-4,3.2584868771846676E-4,3.2584868771846676E-4
Blocking probability by fragmentation,4,all,all,all, ,0.0016193692359341982,0.0022908150166874026,7.50439402018287E-4,0.0013823883721389499,0.0013725141694808144,0.0018267274917550408,0.0019649663289689357,0.001412010980113356,0.0023401860299780792,0.0023796828406106208


Blocking probability by QoTN,0,all,all,all, ,0.0,2.9622607974406068E-5,0.0,9.874202658135355E-6,0.0,0.0,0.0,0.0,0.0,0.0
Blocking probability by QoTN,1,all,all,all, ,1.974840531627071E-5,9.874202658135355E-6,9.874202658135355E-6,9.874202658135355E-6,1.974840531627071E-5,0.0,9.874202658135355E-6,1.974840531627071E-5,2.9622607974406068E-5,9.874202658135355E-6
Blocking probability by QoTN,2,all,all,all, ,9.874202658135355E-6,0.0,0.0,0.0,0.0,0.0,9.874202658135355E-6,0.0,0.0,0.0
Blocking probability by QoTN,3,all,all,all, ,1.974840531627071E-5,9.874202658135355E-6,1.974840531627071E-5,0.0,0.0,1.974840531627071E-5,0.0,9.874202658135355E-6,1.974840531627071E-5,1.974840531627071E-5
Blocking probability by QoTN,4,all,all,all, ,1.974840531627071E-5,4.937101329067678E-5,3.949681063254142E-5,9.874202658135355E-6,3.949681063254142E-5,5.9245215948812136E-5,2.9622607974406068E-5,5.9245215948812136E-5,6.911941860694749E-5,4.937101329067678E-5


Blocking probability by QoTO,0,all,all,all, ,0.00180697908643877,0.002132827774157237,0.0017181112625155519,0.0020933309635246954,0.0020637083555502893,0.0021229535714991014,0.0013922625747970852,0.001915595315678259,0.002024211544917748,0.0018760985050457176
Blocking probability by QoTO,1,all,all,all, ,0.0031992416612358554,0.003880561644647195,0.0037620712127495706,0.002893141378833659,0.0023994312459268913,0.0025969152990895986,0.003633706578193811,0.0034263483223729682,0.004650749451981752,0.003633706578193811
Blocking probability by QoTO,2,all,all,all, ,0.005104962774255979,0.005164207990204791,0.0034757193356636453,0.005213579003495468,0.0046803720599561584,0.004423642790844639,0.005993641013488161,0.004048423089835496,0.004196536129707526,0.006635464186266959
Blocking probability by QoTO,3,all,all,all, ,0.006299741295890357,0.005638169717795288,0.0062009992693090035,0.0068724450500622074,0.008304204435491834,0.006832948239429666,0.00735628098031084,0.009054643837510121,0.006961312873985426,0.007692003870687442
Blocking probability by QoTO,4,all,all,all, ,0.011029484369137192,0.010762880897367537,0.007978355747773367,0.008738669352449789,0.009627347591681972,0.006595967375634417,0.012362501727985465,0.009765586428895866,0.013241305764559511,0.008936153405612497


Blocking probability by other,0,all,all,all, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blocking probability by other,1,all,all,all, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blocking probability by other,2,all,all,all, ,0.0,0.0,9.874202658135355E-6,2.9622607974406068E-5,3.949681063254142E-5,9.874202658135355E-6,9.874202658135355E-6,0.0,9.874202658135355E-6,9.874202658135355E-6
Blocking probability by other,3,all,all,all, ,9.874202658135356E-5,6.911941860694749E-5,2.9622607974406068E-5,1.1849043189762427E-4,1.2836463455575962E-4,3.949681063254142E-5,7.899362126508284E-5,6.911941860694749E-5,4.937101329067678E-5,5.9245215948812136E-5
Blocking probability by other,4,all,all,all, ,2.7647767442778994E-4,8.294330232833699E-4,1.8760985050457176E-4,4.5421332227422637E-4,2.468550664533839E-4,3.8509390366727885E-4,4.937101329067678E-4,2.7647767442778994E-4,3.357228903766021E-4,5.430811461974445E-4


Blocking probability per pair,0,all,1,7, ,0.0071174377224199285,0.01048951048951049,0.008976660682226212,0.012237762237762238,0.009523809523809525,0.007619047619047619,0.0034542314335060447,0.010416666666666666,0.009242144177449169,0.010033444816053512
Blocking probability per pair,0,all,8,4, ,0.0037593984962406013,0.0017241379310344827,0.0070921985815602835,0.0074487895716946,0.0036496350364963502,0.005190311418685121,0.0071301247771836,0.005208333333333333,0.005628517823639775,0.0034602076124567475
Blocking probability per pair,0,all,6,10, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blocking probability per pair,0,all,1,8, ,0.014285714285714285,0.015358361774744027,0.0057361376673040155,0.021015761821366025,0.008771929824561403,0.01485148514851485,0.0136986301369863,0.012962962962962963,0.014545454545454545,0.015410958904109588
Blocking probability per pair,0,all,4,7, ,0.0017482517482517483,0.0051635111876075735,0.0017953321364452424,0.01195219123505976,0.0019083969465648854,0.010471204188481676,0.01263537906137184,0.007104795737122558,0.0034782608695652175,0.016260162601626018
Blocking probability per pair,0,all,2,13, ,0.0017605633802816902,0.0,0.0,0.0,0.0018315018315018315,0.0,0.0,0.0017391304347826088,0.0,0.0016556291390728477
Blocking probability per pair,0,all,7,10, ,0.0,0.0,0.0035149384885764497,0.0,0.0,0.0,0.0,0.001838235294117647,0.0,0.0
Blocking probability per pair,0,all,2,4, ,0.0,0.0017123287671232876,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blocking probability per pair,0,all,4,1, ,0.0,0.0018587360594795538,0.0,0.0017889087656529517,0.0018315018315018315,0.0,0.0018587360594795538,0.0,0.0,0.001834862385321101
Blocking probability per pair,0,all,4,11, ,0.005484460694698354,0.0,0.0016722408026755853,0.0,0.0,0.0,0.00322061191626409,0.0017064846416382253,0.0017123287671232876,0.0
Blocking probability per pair,0,all,3,12, ,0.0036363636363636364,0.0056925996204933585,0.003656307129798903,0.0,0.0,0.00375234521575985,0.001736111111111111,0.0036101083032490976,0.0017241379310344827,0.0
Blocking probability per pair,0,all,4,6, ,0.003861003861003861,0.0017513134851138354,0.0035650623885918,0.0,0.0034602076124567475,0.0,0.003766478342749529,0.0018148820326678765,0.0017391304347826088,0.0
Blocking probability per pair,0,all,10,5, ,0.0,0.0016863406408094434,0.0,0.0016313213703099511,0.0,0.002028397565922921,0.0018115942028985507,0.0,0.0,0.0016863406408094434
Blocking probability per pair,0,all,14,9, ,0.0,0.001851851851851852,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blocking probability per pair,0,all,2,7, ,0.009259259259259259,0.0035842293906810036,0.0037313432835820895,0.005964214711729622,0.008113590263691683,0.001834862385321101,0.0018484288354898336,0.005110732538330494,0.0037243947858473,0.0034662045060658577
Blocking probability per pair,0,all,5,14, ,0.006993006993006993,0.00338409475465313,0.0017094017094017094,0.0018726591760299626,0.0052173913043478265,0.007194244604316547,0.0055248618784530384,0.00375234521575985,0.0018115942028985507,0.0
Blocking probability per pair,0,all,10,12, ,0.0,0.0,0.0017513134851138354,0.0,0.0017761989342806395,0.0,0.0,0.0035026269702276708,0.0,0.0
Blocking probability per pair,0,all,6,7, ,0.0,0.0,0.0,0.0018148820326678765,0.00530035335689046,0.0016501650165016502,0.003552397868561279,0.0,0.0017921146953405018,0.0
Blocking probability per pair,0,all,7,9, ,0.0,0.0,0.0,0.0018315018315018315,0.0,0.0,0.0,0.0,0.0017543859649122807,0.0
Blocking probability per pair,0,all,14,11, ,0.0,0.0,0.0,0.0017271157167530224,0.0,0.0,0.0,0.0,0.0018450184501845018,0.0
Blocking probability per pair,0,all,11,10, ,0.0017825311942959,0.0018115942028985507,0.0,0.0,0.0,0.0018281535648994515,0.0,0.0,0.0,0.001834862385321101
Blocking probability per pair,0,all,8,5, ,0.0,0.0,0.0019120458891013384,0.0,0.00487012987012987,0.0036496350364963502,0.0037735849056603774,0.003838771593090211,0.005076142131979695,0.0018656716417910447
Blocking probability per pair,0,all,2,9, ,0.0,0.0038461538461538464,0.0,0.0018248175182481751,0.001851851851851852,0.0,0.0,0.0,0.0,0.0035149384885764497
Blocking probability per pair,0,all,2,8, ,0.0018552875695732839,0.007707129094412331,0.0,0.005263157894736842,0.010186757215619695,0.0,0.0035398230088495575,0.0018018018018018018,0.003676470588235294,0.0055147058823529415
Blocking probability per pair,0,all,4,9, ,0.0,0.0,0.0017152658662092624,0.0,0.0,0.0,0.0018181818181818182,0.0017699115044247787,0.005385996409335727,0.0035650623885918
Blocking probability per pair,0,all,10,1, ,0.0035398230088495575,0.0035714285714285713,0.0017699115044247787,0.006568144499178982,0.005484460694698354,0.0,0.0033613445378151263,0.0018214936247723133,0.0,0.006944444444444444
Blocking probability per pair,0,all,9,3, ,0.0,0.0035460992907801418,0.001876172607879925,0.0,0.0017391304347826088,0.0,0.0,0.0034482758620689655,0.0,0.0
Blocking probability per pair,0,all,10,4, ,0.0036900369003690036,0.0,0.0,0.0,0.0037735849056603774,0.0035398230088495575,0.0017889087656529517,0.0017889087656529517,0.003436426116838488,0.0036101083032490976
Blocking probability per pair,0,all,12,5, ,0.001841620626151013,0.0018552875695732839,0.001841620626151013,0.0,0.003669724770642202,0.0,0.0,0.0019157088122605363,0.0017211703958691911,0.0017825311942959
Blocking probability per pair,0,all,4,13, ,0.0,0.001893939393939394,0.003669724770642202,0.0,0.0018115942028985507,0.00667779632721202,0.0016474464579901153,0.0,0.00922509225092251,0.0
Blocking probability per pair,0,all,5,3, ,0.005555555555555556,0.005545286506469501,0.0034602076124567475,0.001838235294117647,0.005244755244755245,0.008756567425569177,0.003527336860670194,0.0034662045060658577,0.013157894736842105,0.005309734513274336
Blocking probability per pair,0,all,3,4, ,0.0,0.0017730496453900709,0.0,0.0038910505836575876,0.0,0.0,0.0,0.0,0.0019157088122605363,0.0019157088122605363
Blocking probability per pair,0,all,12,10, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blocking probability per pair,0,all,10,14, ,0.0,0.0,0.0,0.0,0.0017543859649122807,0.0,0.0,0.0,0.0,0.0
Blocking probability per pair,0,all,1,9, ,0.009505703422053232,0.012389380530973451,0.01107011070110701,0.008756567425569177,0.014652014652014652,0.009819967266775777,0.0017985611510791368,0.006825938566552901,0.005263157894736842,0.015717092337917484
Blocking probability per pair,0,all,3,10, ,0.0,0.0054446460980036296,0.0036968576709796672,0.013468013468013467,0.003875968992248062,0.0054249547920434,0.0,0.010676156583629894,0.003316749585406302,0.0056179775280898875
Blocking probability per pair,0,all,11,7, ,0.0019120458891013384,0.0,0.0018315018315018315,0.0,0.0,0.001841620626151013,0.0,0.0,0.0018050541516245488,0.0018315018315018315
Blocking probability per pair,0,all,9,7, ,0.0,0.0,0.0017857142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blocking probability per pair,0,all,10,13, ,0.0017605633802816902,0.0,0.0,0.0,0.0,0.0,0.003284072249589491,0.0018587360594795538,0.0,0.0
Blocking probability per pair,0,all,1,2, ,0.001890359168241966,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0017241379310344827,0.0
Blocking probability per pair,0,all,5,1, ,0.009328358208955223,0.0033444816053511705,0.005597014925373134,0.0036231884057971015,0.011538461538461539,0.0037593984962406013,0.0053285968028419185,0.0017605633802816902,0.0038022813688212928,0.0
Blocking probability per pair,0,all,11,6, ,0.0,0.0,0.0,0.001838235294117647,0.0017793594306049821,0.0,0.0,0.0,0.0,0.0
Blocking probability per pair,0,all,2,12, ,0.0017574692442882249,0.0,0.0018975332068311196,0.0,0.001869158878504673,0.0,0.001736111111111111,0.0,0.0,0.0
Blocking probability per pair,0,all,14,13, ,0.0,0.0,0.0,0.0,0.0017730496453900709,0.0,0.0,0.0,0.0,0.0018083182640144665
Blocking probability per pair,0,all,1,5, ,0.0036429872495446266,0.0036968576709796672,0.0017123287671232876,0.003316749585406302,0.0,0.008576329331046312,0.0,0.0075046904315197,0.0,0.005309734513274336
Blocking probability per pair,0,all,3,14, ,0.003472222222222222,0.0016474464579901153,0.0034542314335060447,0.005272407732864675,0.0017699115044247787,0.008561643835616438,0.0017241379310344827,0.008771929824561403,0.011090573012939002,0.003766478342749529
Blocking probability per pair,0,all,3,8, ,0.0053475935828877,0.009041591320072333,0.010638297872340425,0.009009009009009009,0.0070052539404553416,0.008944543828264758,0.0,0.005190311418685121,0.005357142857142857,0.0050933786078098476
Blocking probability per pair,0,all,10,6, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blocking probability per pair,0,all,2,5, ,0.0016835016835016834,0.0018315018315018315,0.005190311418685121,0.0034129692832764505,0.005405405405405406,0.0,0.0018083182640144665,0.003745318352059925,0.0018450184501845018,0.001893939393939394
Blocking probability per pair,0,all,4,3, ,0.0,0.0017241379310344827,0.0,0.0,0.0,0.0017667844522968198,0.0,0.003780718336483932,0.0017857142857142857,0.0
Blocking probability per pair,0,all,3,11, ,0.0,0.0,0.0,0.0,0.0034965034965034965,0.0,0.0,0.0017921146953405018,0.0,0.0017331022530329288
Blocking probability per pair,0,all,5,12, ,0.007380073800738007,0.0018975332068311196,0.0055248618784530384,0.0,0.0017331022530329288,0.0,0.0,0.0036429872495446266,0.0035650623885918,0.0034423407917383822
Blocking probability per pair,0,all,3,1, ,0.0,0.0019083969465648854,0.0,0.0,0.001763668430335097,0.0,0.0,0.0,0.0,0.0
Blocking probability per pair,0,all,10,3, ,0.005494505494505495,0.0017331022530329288,0.0017271157167530224,0.0017825311942959,0.0018656716417910447,0.005253940455341506,0.0019193857965451055,0.008865248226950355,0.0018315018315018315,0.0017825311942959
Blocking probability per pair,0,all,2,3, ,0.0,0.0,0.003472222222222222,0.0018450184501845018,0.003246753246753247,0.0,0.0,0.0036429872495446266,0.0,0.0017730496453900709
Blocking probability per pair,0,all,8,3, ,0.0018315018315018315,0.0034904013961605585,0.0017482517482517483,0.001669449081803005,0.005291005291005291,0.0,0.0,0.0035149384885764497,0.005504587155963303,0.0055147058823529415
Blocking probability per pair,0,all,11,1, ,0.008532423208191127,0.0017211703958691911,0.0,0.0017761989342806395,0.001893939393939394,0.0,0.0057361376673040155,0.0,0.0,0.0019157088122605363
Blocking probability per pair,0,all,7,3, ,0.007920792079207921,0.005484460694698354,0.0,0.003937007874015748,0.005357142857142857,0.007246376811594203,0.0,0.009041591320072333,0.0017421602787456446,0.001692047377326565
Blocking probability per pair,0,all,12,1, ,0.0035714285714285713,0.010676156583629894,0.0017331022530329288,0.0,0.009208103130755065,0.0019723865877712033,0.0036968576709796672,0.004746835443037975,0.006968641114982578,0.007326007326007326
Blocking probability per pair,0,all,7,14, ,0.0,0.0,0.0,0.0017761989342806395,0.005084745762711864,0.0,0.0,0.0,0.0,0.0
Blocking probability per pair,0,all,3,13, ,0.005338078291814947,0.003766478342749529,0.0,0.0018115942028985507,0.0016611295681063123,0.0017889087656529517,0.0,0.0055658627087198514,0.005535055350553505,0.0016750418760469012
Blocking probability per pair,0,all,13,14, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blocking probability per pair,0,all,7,6, ,0.0,0.005484460694698354,0.0,0.0,0.0017452006980802793,0.0,0.0,0.006779661016949152,0.0018083182640144665,0.0017761989342806395
Blocking probability per pair,0,all,4,8, ,0.003683241252302026,0.0,0.0038461538461538464,0.0019011406844106464,0.0018248175182481751,0.001763668430335097,0.0017857142857142857,0.0,0.001838235294117647,0.0
Blocking probability per pair,0,all,6,9, ,0.0,0.0,0.001838235294117647,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blocking probability per pair,0,all,13,6, ,0.0,0.0,0.0,0.0,0.0,0.00199203187250996,0.0,0.0,0.0,0.0019011406844106464
Blocking probability per pair,0,all,6,1, ,0.0018050541516245488,0.005545286506469501,0.0034423407917383822,0.003395585738539898,0.0,0.00510204081632653,0.003472222222222222,0.0017921146953405018,0.0018587360594795538,0.005208333333333333
Blocking probability per pair,0,all,2,1, ,0.0,0.0,0.0,0.0017241379310344827,0.0,0.0,0.0017699115044247787,0.0017391304347826088,0.0,0.0
Blocking probability per pair,0,all,6,3, ,0.0,0.007662835249042145,0.00539568345323741,0.0018450184501845018,0.003590664272890485,0.0,0.003430531732418525,0.003616636528028933,0.0017482517482517483,0.0018484288354898336
Blocking probability per pair,0,all,3,6, ,0.0035778175313059034,0.013257575757575758,0.0,0.0,0.0,0.004975124378109453,0.0018181818181818182,0.0036900369003690036,0.0019157088122605363,0.0036496350364963502
Blocking probability per pair,0,all,6,4, ,0.0,0.0035149384885764497,0.0,0.0035398230088495575,0.0018148820326678765,0.0017921146953405018,0.0,0.005434782608695652,0.003430531732418525,0.005671077504725898
Blocking probability per pair,0,all,7,12, ,0.0017241379310344827,0.0016778523489932886,0.0017064846416382253,0.0,0.0017421602787456446,0.0018148820326678765,0.001692047377326565,0.0,0.0,0.0
Blocking probability per pair,0,all,11,8, ,0.0,0.0,0.0,0.001692047377326565,0.0,0.001763668430335097,0.0,0.0,0.0,0.001869158878504673
Blocking probability per pair,0,all,10,8, ,0.0,0.0,0.0,0.0018018018018018018,0.0,0.0016420361247947454,0.0,0.0,0.0,0.0
Blocking probability per pair,0,all,7,1, ,0.008576329331046312,0.00528169014084507,0.006872852233676976,0.014035087719298246,0.0070921985815602835,0.008347245409015025,0.012567324955116697,0.015355086372360844,0.003745318352059925,0.006060606060606061
Blocking probability per pair,0,all,6,13, ,0.0017301038062283738,0.0017421602787456446,0.0,0.001876172607879925,0.0,0.0,0.0,0.0,0.0,0.0
Blocking probability per pair,0,all,13,5, ,0.0,0.001841620626151013,0.0019305019305019305,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blocking probability per pair,0,all,12,14, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0017985611510791368,0.0,0.0,0.0
Blocking probability per pair,0,all,6,5, ,0.0017857142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0017857142857142857,0.0017574692442882249
Blocking probability per pair,0,all,14,5, ,0.0018018018018018018,0.0,0.0,0.0,0.0,0.0,0.003656307129798903,0.0018552875695732839,0.0,0.0018552875695732839
Blocking probability per pair,0,all,9,13, ,0.0017574692442882249,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blocking probability per pair,0,all,10,2, ,0.003629764065335753,0.0,0.0017730496453900709,0.0075046904315197,0.0,0.0,0.0017421602787456446,0.0019267822736030828,0.0017452006980802793,0.007751937984496124
Blocking probability per pair,0,all,9,8, ,0.0,0.0,0.0,0.0,0.0,0.0017211703958691911,0.0,0.0,0.0,0.0016835016835016834
Blocking probability per pair,0,all,11,14, ,0.0,0.0,0.0,0.0034129692832764505,0.0,0.0,0.0,0.0,0.0,0.0
Blocking probability per pair,0,all,13,11, ,0.0,0.0,0.0,0.0,0.0017094017094017094,0.0,0.001976284584980237,0.0,0.0,0.0
Blocking probability per pair,0,all,14,8, ,0.0,0.0,0.0,0.0018181818181818182,0.0,0.0017152658662092624,0.0,0.0017985611510791368,0.0018214936247723133,0.0
Blocking probability per pair,0,all,5,13, ,0.00558659217877095,0.0018587360594795538,0.0035026269702276708,0.0,0.0,0.0,0.0,0.0017730496453900709,0.0053285968028419185,0.0017035775127768314
Blocking probability per pair,0,all,13,3, ,0.0,0.0017152658662092624,0.0017985611510791368,0.0017761989342806395,0.0018115942028985507,0.0,0.0,0.0,0.0017421602787456446,0.0
Blocking probability per pair,0,all,3,2, ,0.0,0.0017730496453900709,0.0,0.0035149384885764497,0.0017482517482517483,0.0034782608695652175,0.0,0.0,0.0018018018018018018,0.0038535645472061657
Blocking probability per pair,0,all,2,14, ,0.0035650623885918,0.0017921146953405018,0.0,0.0,0.0,0.0,0.0,0.0017889087656529517,0.0,0.0
Blocking probability per pair,0,all,8,12, ,0.0,0.0018484288354898336,0.0017699115044247787,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blocking probability per pair,0,all,6,12, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0017543859649122807,0.0,0.0,0.0035587188612099642
Blocking probability per pair,0,all,13,4, ,0.0,0.0,0.0,0.001984126984126984,0.0,0.0,0.0,0.0,0.005703422053231939,0.0
Blocking probability per pair,0,all,1,4, ,0.0018248175182481751,0.0018281535648994515,0.0,0.00186219739292365,0.0,0.0,0.0,0.0,0.0,0.0
Blocking probability per pair,0,all,12,7, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0019646365422396855,0.0,0.0,0.003355704697986577
Blocking probability per pair,0,all,6,11, ,0.0,0.0,0.0018726591760299626,0.0,0.0,0.0,0.0,0.0,0.0,0.0017667844522968198
Blocking probability per pair,0,all,7,5, ,0.001658374792703151,0.0,0.0018050541516245488,0.0018083182640144665,0.0017301038062283738,0.0017761989342806395,0.0055248618784530384,0.0,0.007366482504604052,0.0017482517482517483
Blocking probability per pair,0,all,13,2, ,0.0,0.0,0.0,0.0,0.0018214936247723133,0.0,0.0,0.001869158878504673,0.0,0.0
Blocking probability per pair,0,all,1,11, ,0.003424657534246575,0.0018248175182481751,0.003629764065335753,0.005747126436781609,0.0017985611510791368,0.0017513134851138354,0.003745318352059925,0.0017241379310344827,0.0,0.001736111111111111
Blocking probability per pair,0,all,5,8, ,0.0018796992481203006,0.0018248175182481751,0.0,0.0018975332068311196,0.0,0.0035971223021582736,0.001697792869269949,0.0018867924528301887,0.003663003663003663,0.001834862385321101
Blocking probability per pair,0,all,14,3, ,0.0,0.001869158878504673,0.0018115942028985507,0.0074487895716946,0.0018975332068311196,0.001838235294117647,0.0,0.007518796992481203,0.003424657534246575,0.0034482758620689655
Blocking probability per pair,0,all,1,10, ,0.0017513134851138354,0.0018050541516245488,0.00558659217877095,0.003745318352059925,0.0,0.0056179775280898875,0.005136986301369863,0.0037735849056603774,0.0,0.001694915254237288
Blocking probability per pair,0,all,13,12, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blocking probability per pair,0,all,10,7, ,0.0,0.001996007984031936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001697792869269949
Blocking probability per pair,0,all,11,3, ,0.0,0.0019011406844106464,0.0,0.0019120458891013384,0.0035714285714285713,0.0,0.0,0.0,0.0,0.0
Blocking probability per pair,0,all,12,6, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blocking probability per pair,0,all,8,11, ,0.0,0.0017667844522968198,0.003663003663003663,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blocking probability per pair,0,all,4,2, ,0.0,0.0,0.0,0.0017271157167530224,0.0,0.0,0.0,0.0,0.0,0.0
Blocking probability per pair,0,all,5,2, ,0.007142857142857143,0.004132231404958678,0.0037105751391465678,0.010968921389396709,0.0018867924528301887,0.008547008547008548,0.005385996409335727,0.001941747572815534,0.00528169014084507,0.0034904013961605585
Blocking probability per pair,0,all,1,3, ,0.0,0.0,0.001736111111111111,0.0034423407917383822,0.0,0.0,0.0,0.0,0.0,0.0
Blocking probability per pair,0,all,8,14, ,0.0,0.0,0.0017211703958691911,0.0,0.001736111111111111,0.005136986301369863,0.0,0.0,0.001869158878504673,0.0017391304347826088
Blocking probability per pair,0,all,10,11, ,0.0017064846416382253,0.0,0.0037593984962406013,0.0,0.0035087719298245615,0.0018115942028985507,0.0,0.0,0.0,0.0
Blocking probability per pair,0,all,2,6, ,0.0,0.005671077504725898,0.0017301038062283738,0.0,0.005639097744360902,0.0016778523489932886,0.0017985611510791368,0.005555555555555556,0.0,0.0
Blocking probability per pair,0,all,9,1, ,0.009074410163339383,0.005110732538330494,0.003816793893129771,0.007434944237918215,0.006791171477079796,0.007259528130671506,0.0018083182640144665,0.0053285968028419185,0.0035842293906810036,0.003976143141153081
Blocking probability per pair,0,all,5,11, ,0.0017921146953405018,0.0019230769230769232,0.0052173913043478265,0.0017605633802816902,0.0,0.0,0.00398406374501992,0.0018587360594795538,0.0016722408026755853,0.0
Blocking probability per pair,0,all,5,6, ,0.005434782608695652,0.005366726296958855,0.005535055350553505,0.0,0.011385199240986717,0.003913894324853229,0.0,0.0019267822736030828,0.0017857142857142857,0.0019083969465648854
Blocking probability per pair,0,all,7,11, ,0.0,0.0,0.0017793594306049821,0.0,0.0,0.0019455252918287938,0.0018018018018018018,0.0017921146953405018,0.003663003663003663,0.0
Blocking probability per pair,0,all,14,4, ,0.0,0.0018796992481203006,0.0,0.0,0.0018867924528301887,0.0,0.0,0.003436426116838488,0.0,0.0018867924528301887
