Metrics,LoadPoint,Node, ,rep0,rep1,rep2,rep3,rep4,rep5,rep6,rep7,rep8,rep9
Rx Utilization Per Node,0,10, ,29.298990856488338,29.416740723186603,28.284436281770247,28.44922684993187,29.876690957205206,28.894020182870232,29.692774058494777,30.457481683354068,28.743083121037976,29.932460453818354
Rx Utilization Per Node,1,11, ,31.076742303059028,29.517072496395915,29.136708335801885,28.7993068309734,29.529464620731876,31.268133973181666,30.48189071232498,31.115893516598536,28.161077867962163,29.726316724924462
Rx Utilization Per Node,1,12, ,23.335397041688882,24.27238975452732,24.183897150305114,24.4641961411616,22.444734087722416,22.364298832869245,22.61576515196398,22.771678811935935,23.085392104587555,23.785818670142387
Rx Utilization Per Node,1,13, ,23.302861543930327,22.503989177873887,25.87423228074333,25.12444457610048,23.204119517348975,24.249066887848805,22.87719454154077,24.50773150068132,25.90161344471434,24.183828030886506
Rx Utilization Per Node,1,14, ,29.655281711001837,29.82292592373166,29.58201512727847,30.72675118984142,30.604508560933706,32.202282915654564,31.52335248928649,32.31603373027628,27.820506744080415,30.767028062483956
Rx Utilization Per Node,1,1, ,24.326905227402886,22.299978276754153,23.46180658411833,23.8699468767897,21.813397318166558,24.694324308312105,23.85611311886565,24.869216185792997,24.142119398858544,24.497106858621166
Rx Utilization Per Node,1,2, ,27.722376918063866,29.23773130319727,29.589381282461442,27.824950135276577,29.95504275529751,26.9725694650157,29.85718940695539,25.79394513893003,25.78981772221893,29.040454608290382
Rx Utilization Per Node,1,3, ,25.495201137508147,26.188123309042794,24.892509429863537,28.7177459170172,29.27585559966033,27.141842921184114,25.60670063392381,28.5645081659656,26.20254951912633,24.463643185812746
Rx Utilization Per Node,1,4, ,38.38722673144144,38.04196536129707,37.76310800402867,38.516183818156684,39.0531627071114,36.64447933329384,40.00155024981733,38.008442443272706,38.77624069356399,38.231234077848214
Rx Utilization Per Node,1,5, ,26.62836463455576,25.094190019155953,25.586310405434762,26.005223453206153,25.482927503604085,24.664069751367578,29.31493769378123,26.207141023362365,26.2045144854553,27.013389418804433
Rx Utilization Per Node,1,6, ,43.118628670734836,44.75036040839702,42.60992949819302,43.8652763789324,43.607036356814184,45.39531370341845,43.84492564725399,43.24332997610443,43.062632067460555,44.790874261903355
Rx Utilization Per Node,1,7, ,31.09458498726228,33.965223058238045,32.64186266958943,30.471740031992418,29.48690680727531,33.2848016272686,29.502616663704405,31.186099097497877,30.569662499753147,31.884945790627405
Rx Utilization Per Node,1,8, ,39.69606216797994,35.64429172344333,38.549124158224224,38.758022789659734,35.876374982720144,36.603965479787504,35.97561071943441,36.60746094752849,36.672778798112056,37.202776625787465
Rx Utilization Per Node,1,9, ,40.25603807492545,38.75056776665284,37.89848332247171,39.902077532239275,39.68205067440804,39.26166637044059,41.74993581768272,41.075962241049034,41.48991843908605,40.44315421529711
Rx Utilization Per Node,1,10, ,31.548205857377017,32.64134921105121,35.6722949621818,33.22814345241622,32.19593380334538,32.30656436992713,31.840571123881748,32.283567351936334,35.23281395027352,32.05102987933724
Rx Utilization Per Node,2,11, ,32.90737010486403,33.821237435077116,31.002527795880482,34.03447084147955,32.44090289709106,33.816813792286275,32.821237435077116,31.72093528447578,33.2720639058396,32.36985800896578
Rx Utilization Per Node,2,12, ,25.834281256788515,26.030521160416296,25.73782017102119,26.888391887355095,26.92633844817031,25.472164622706718,25.24052570254952,25.500404842308985,30.43966862175879,27.735262752532734
Rx Utilization Per Node,2,13, ,28.369077946955784,26.458399984201275,25.906362936192902,26.87656259257065,27.165304026699843,27.824367557319746,25.894632383435038,27.105989691332425,29.879317495112268,27.156407370104866
Rx Utilization Per Node,2,14, ,33.50321899006655,34.068971305567075,32.59089203546814,34.14629618658293,33.06862570847404,32.0523135256828,30.68704702095306,31.953225902008413,33.2957916148271,31.509943322076744
Rx Utilization Per Node,2,1, ,27.567243320101902,24.88551849438158,28.029395501313267,26.281227165906355,25.95567470426763,27.159488121334203,27.467444753836126,26.722169559808044,24.05279736161305,27.430001777356477
Rx Utilization Per Node,2,2, ,30.830104469064125,32.83084503426348,29.069889606414282,31.842486719197424,33.0514643442542,31.819193475126884,32.61486659952209,32.85384205225428,32.47285581689279,35.21953314769832
Rx Utilization Per Node,2,3, ,28.713223532199773,30.5561348421115,30.414696763236368,30.01599620830618,29.624227343642,30.340738985326936,26.898512945079684,31.909967020163123,32.033068704702096,26.44090289709106
Rx Utilization Per Node,2,4, ,44.733663131702116,42.67534609080317,43.035083042044356,40.93431680391809,41.670596599324604,42.60491340324269,39.99707723601319,41.85269664474594,42.43789126528033,41.17542508442443
Rx Utilization Per Node,2,5, ,29.309743863183048,29.644548452712442,29.90743922428264,28.139334873708947,30.126962497778305,27.024063431877877,29.821158441455854,27.914519027588522,30.19466990540514,25.647046625984952
Rx Utilization Per Node,2,6, ,47.085243991547685,48.49158717933527,45.67058672512194,47.490856488338565,46.03701838576535,47.13481248889152,46.30672235716966,48.549538874735866,48.543041649386815,48.111025534688075
Rx Utilization Per Node,2,7, ,31.591089519521297,32.40139621225586,32.67960187214882,37.69494638307957,34.913906827023716,32.94279874400142,30.049005667792326,31.255475245373937,31.525495191263307,35.14429172344333
Rx Utilization Per Node,2,8, ,42.775964215889566,39.89658747556135,41.82535497758556,44.22391729367853,41.40391413393368,41.10665126291052,43.649347315204295,40.06995872583289,43.84301992614096,43.42111499496416
Rx Utilization Per Node,2,9, ,45.66287497284594,42.81391077670478,44.03102474475186,45.577028654936115,45.242865888579495,41.10782629302684,39.91892292197405,39.444329245413435,42.67004364397575,45.81639907577463
Rx Utilization Per Node,2,10, ,29.902265142089774,36.64554574718092,36.46446274463337,38.18942670379367,34.93100894602761,35.79041017437842,35.129361929024235,35.64372889389182,38.134693998459625,37.05616446471947
Rx Utilization Per Node,3,11, ,35.935096865928074,35.87974208582657,34.14408436518751,36.63022098465549,34.666567924640084,37.846515393881944,36.79752947449494,36.94237415328712,37.039052471512925,35.382783340245275
Rx Utilization Per Node,3,12, ,28.664751071350988,28.426911151924482,28.221833836917668,29.12460256334301,30.704089894741,30.30830222959496,29.899816339830558,28.746045381835415,28.85866066315145,30.239064320556114
Rx Utilization Per Node,3,13, ,31.120327033592037,29.834419495625728,29.364200090842665,31.050546043406996,30.269249758082037,29.578776388806602,28.693958962813753,31.026630724568992,30.755791219858995,29.77959792246776
Rx Utilization Per Node,3,14, ,35.57323696111539,34.860971226573454,34.298279913896955,33.364051977802795,34.23925193040662,36.4803997077236,34.916819716807865,34.92249738333629,37.17395382822837,35.96348519857022
Rx Utilization Per Node,3,1, ,29.750765250706007,28.171011315836246,30.392321820013034,30.12730809487134,33.34468866639019,28.49916069277406,30.662371388510376,29.771214724411003,27.58357525129846,30.023391986097124
Rx Utilization Per Node,3,2, ,34.3632719157928,33.848480360210914,36.492821454667535,34.610620692379094,35.259138574560104,32.72883464660229,33.0674803009657,34.934346426526055,32.74928412030729,35.42967592866876
Rx Utilization Per Node,3,3, ,34.203596184608095,34.1304777139246,35.67236408160041,30.426368070778285,31.596342595335425,31.950757351343878,33.96715840195904,28.96876789699232,35.0733751999526,34.24434701897822
Rx Utilization Per Node,3,4, ,44.5187511108478,45.570778284653514,43.02105180006714,46.25063688607145,44.610018366016945,46.65244781483895,44.703902284890496,45.78002251318206,43.52614688863874,46.3949483579201
Rx Utilization Per Node,3,5, ,32.85389142326757,32.205798131800854,31.09166222327547,28.665718743211485,30.59055631257776,32.17974011098604,31.85606374785236,31.06668049055039,31.1314453857851,32.78129628532496
Rx Utilization Per Node,3,6, ,48.890337105278746,52.48194995754093,51.659379505104965,45.026709718190254,51.21333214842902,54.032209649070836,48.08235085016885,53.63743902679859,51.246153998064656,50.68553626794636
Rx Utilization Per Node,3,7, ,35.24918537828071,34.07068941682959,36.98363844619547,33.41019412682426,31.411744376641586,35.82552283903075,34.49913107016609,33.572841993009064,35.27621107095602,34.16945119181626
Rx Utilization Per Node,3,8, ,45.23385074155262,44.029484369137194,47.271984912218336,44.75976064932757,47.31401939293402,43.13025060726346,42.80777889685408,42.383543653849955,43.86249185378281,45.7984576495448
Rx Utilization Per Node,3,9, ,45.305428836621445,45.74155261962596,45.01184904318976,45.16030768015483,42.04788988289196,48.067114955467346,47.186306455753694,46.29154570768411,45.729328356735195,47.63628374508758
Rx Utilization Per Node,3,10, ,40.26303888461007,33.30508323952841,39.01415960661176,40.040158382210635,32.16923395935778,34.379751960029225,37.772735351620355,38.65284278294528,38.07976380907242,33.173815589391154
Rx Utilization Per Node,4,11, ,37.46166834528112,38.78093093982661,35.54543120643008,38.814779706538694,39.773436420009084,39.4904713944349,37.82725082449592,37.59469360349152,37.239755514742185,39.99389774275727
Rx Utilization Per Node,4,12, ,33.52956336275846,34.366155182968974,31.77953867725181,34.09921598830894,32.08225210814227,33.84982325177242,35.378902778600626,33.31334794715327,33.50383119063136,30.706696684242747
